itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate
59126,STAR DISHWASH (BAR) WITH ANTI BACTERIAL PROTECTION - FRESH ORANGE WITH LIME 50 GM PLPCH (STAR HOLDINGS),21,HOUSEHOLD CLEANERS,STAR HOLDINGS INTERNATIONAL,STAR,PLPCH,,BAR,50,GM,50.00 GM,202306
59127,SIKURU DEEP CLEAN LIME DISHWASH LIQUID 500 ML PLBOT (UPALI CONSUMER),21,HOUSEHOLD CLEANERS,UPALI CONSUMER PRODUCTS,SIKURU,PLBOT,,LIQUID,500,ML,500.00 ML,202306
59128,SMART ONE - LIME DISHWASH LIQUID 500 ML PLBOT,21,HOUSEHOLD CLEANERS,DIMUTH ENTERPRISES,SMART ONE,PLBOT,,LIQUID,500,ML,500.00 ML,202306
59129,SMART ONE - TOILET BOWL CLEANER LIQUID 300 ML PLBOT,21,HOUSEHOLD CLEANERS,DIMUTH ENTERPRISES,SMART ONE,PLBOT,,,300,ML,300.00 ML,202306
59130,BIOVITA ULTRA GLOWING MOISTURIZER BODY LOTION 100 ML PLBOT (AYU PHARMA),19,CREAMS & LOTIONS,AYU PHARMA & NEUTRA,BIOVITA,PLBOT,UNSPECIFIED,,100,ML,100.00 ML,202306
59131,ABC HERBAL - BEAUTY GLOW (SPF 50+ UVA PROTECTION) PROTECTING & MOISTURISING SUN PROTECTION CREAM 50 GM TUBE,19,CREAMS & LOTIONS,ABC HERBALS (PVT) LTD,ABC HERBAL,TUBE,UNSPECIFIED,,50,GM,50.00 GM,202306
59132,DOMS - (DSL ENTERPRISES) - 12 COLOUR PENCILS - 1 NO CDBOX + FREE SHARPENER,39,STATIONERY,DSL ENTERPRISES (PVT) LTD,DOMS,CDBOX,12,,1,NO,1.00 NO,202306
59133,RICHARD - B5 PRACTICAL BOOK 1/2 INCH SQUARE RULED 80 PGS - 1 NO,39,STATIONERY,RICHARD TRADING CO (PVT) LTD,RICHARD,,80,B5,1,NO,1.00 NO,202306
59134,RICHARD - DRAWING BOOK (A3) 20 PGS - 1 NO,39,STATIONERY,RICHARD TRADING CO (PVT) LTD,RICHARD,,20,A3,1,NO,1.00 NO,202306
59135,CROWN (IMPORTED) CHOCO MUSK CONCENTRATED PERFUME 6 ML CDBOX,30,PERFUMES/COLOGNES,IMPORTED,CROWN,CDBOX,,,6,ML,6.00 ML,202306
59136,CROWN (IMPORTED) DOUBLE XX CONCENTRATED PERFUME 6 ML CDBOX,30,PERFUMES/COLOGNES,IMPORTED,CROWN,CDBOX,,,6,ML,6.00 ML,202306
59137,PASSY (IMPORTED) MIDNIGHT PERFUME SPRAY 22 ML CDBOX,30,PERFUMES/COLOGNES,IMPORTED,PASSY,CDBOX,,,22,ML,22.00 ML,202306
