itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate,audittype
54305,ANA MY LOVE APPAREL SPRAY PERFUME 22 ML CDBOX (SUJA TRADERS),30,PERFUMES/COLOGNES,SUJA TRADERS,ANA,CDBOX,,,22,ML,22.00 ML,202207,1
54307,CHAMARA - CR BOOK (A4) 200 PGS - 1 NO,39,STATIONERY,CHAMARA INDUSTRIES,CHAMARA,,200,A4,1,NO,1.00 NO,202207,1
54310,NATARAJ - 4B DRWAING PENCILS - 1 NO,39,STATIONERY,PACKSCO CEYLON PVT LTD,NATARAJ,,,,1,NO,1.00 NO,202207,1
54311,SCHOOLMATE - EXERCISE BOOK (A5) 400 PGS - 1 NO,39,STATIONERY,SCHOOLMATE INDUSTRIES PVT LTD (SUSARA PUBLICATIONS),SCHOOLMATE,,400,A5,1,NO,1.00 NO,202207,1
54312,RAJABIMA SPICY FLAVOUR SPECIAL NOODLES WITH CURRY MIXING PACKET 350 GM PLPCH (RAJABIMA LANKA (PVT) LTD),24,NOODLES,RAJABIMA LANKA (PVT) LTD,RAJABIMA,PLPCH,,BULK,350,GM,350.00 GM,202207,1
54314,HI CLEAN FINO CLEAN 750 ML PLBOT,21,HOUSEHOLD CLEANERS,NFLASH SUPER DETERGENT,HI CLEAN,PLBOT,,,750,ML,750.00 ML,202207,1
54315,CLEAR ANTI DANDRUFF SCALP CARE COMPLETE SOFT CARE SHAMPOO 80 ML PLBOT + SAVE RS 50,26,SHAMPOOS/CONDITIONERS,UNILEVER SRI LANKA LTD,CLEAR,PLBOT,,,80,ML,80.00 ML,202207,1
54316,CLOGARD NEW PANCHA SHAKTHI TOOTH PASTE 120 GM CDBOX,27,TOOTHPASTE,HEMAS MARKETING,CLOGARD PANCHA SHAKTHI,CDBOX,,,120,GM,120.00 GM,202207,1
54317,SERENDIB AGRO TURMERIC POWDER 50 GM PLPCH,28,COOKING AIDS,SERENDIB AGRO,SERENDIB AGRO,PLPCH,TURMERIC,,50,GM,50.00 GM,202207,1
54318,MAWELI CHILLI POWDER 50 GM PLPCH,28,COOKING AIDS,MAWELI FOODS PRODUCTS,MAWELI,PLPCH,CHILLI POWDER,,50,GM,50.00 GM,202207,1
54319,MAWELI CHILLI POWDER 1000 GM PLPCH,28,COOKING AIDS,MAWELI FOODS PRODUCTS,MAWELI,PLPCH,CHILLI POWDER,,1000,GM,1000.00 GM,202207,1
54320,MAWELI CURRY POWDER 500 GM PLPCH,28,COOKING AIDS,MAWELI FOODS PRODUCTS,MAWELI,PLPCH,CURRY,,500,GM,500.00 GM,202207,1
54321,MAWELI CHILLI POWDER 500 GM PLPCH,28,COOKING AIDS,MAWELI FOODS PRODUCTS,MAWELI,PLPCH,CHILLI POWDER,,500,GM,500.00 GM,202207,1
54322,MAWELI CHILLI POWDER 100 GM PLPCH,28,COOKING AIDS,MAWELI FOODS PRODUCTS,MAWELI,PLPCH,CHILLI POWDER,,100,GM,100.00 GM,202207,1
54323,MAWELI CURRY POWDER 250 GM PLPCH,28,COOKING AIDS,MAWELI FOODS PRODUCTS,MAWELI,PLPCH,CURRY,,250,GM,250.00 GM,202207,1
54324,MAWELI CURRY POWDER 50 GM PLPCH,28,COOKING AIDS,MAWELI FOODS PRODUCTS,MAWELI,PLPCH,CURRY,,50,GM,50.00 GM,202207,1
54325,HE (EMAMI INDO) ADVANCED GROOMING RESPECT PERFUMED BODY SPRAY 150 ML PLBOT,30,PERFUMES/COLOGNES,EMAMI INDO LANKA PVT LTD,HE,PLBOT,,,150,ML,150.00 ML,202207,1
54326,HE (EMAMI INDO) ADVANCED GROOMING ACHIEVER PERFUMED BODY SPRAY 150 ML PLBOT,30,PERFUMES/COLOGNES,EMAMI INDO LANKA PVT LTD,HE,PLBOT,,,150,ML,150.00 ML,202207,1
54327,HE (EMAMI INDO) ADVANCED GROOMING RULER PERFUMED BODY SPRAY 150 ML PLBOT,30,PERFUMES/COLOGNES,EMAMI INDO LANKA PVT LTD,HE,PLBOT,,,150,ML,150.00 ML,202207,1
54328,HE (EMAMI INDO) ADVANCED GROOMING INNOVATOR PERFUMED BODY SPRAY 150 ML PLBOT,30,PERFUMES/COLOGNES,EMAMI INDO LANKA PVT LTD,HE,PLBOT,,,150,ML,150.00 ML,202207,1
54329,ROMANTRA MAGNIFIQUE PERFUMED COLOGNE SPRAY 100 ML CDBOX,30,PERFUMES/COLOGNES,BELLOSE LANKA LTD,ROMANTRA,CDBOX,,,100,ML,100.00 ML,202207,1
54330,ROMANTRA L'AMOUR PERFUMED COLOGNE SPRAY 100 ML CDBOX,30,PERFUMES/COLOGNES,BELLOSE LANKA LTD,ROMANTRA,CDBOX,,,100,ML,100.00 ML,202207,1
54331,ROMANTRA AMBERLY PERFUMED COLOGNE SPRAY 100 ML CDBOX,30,PERFUMES/COLOGNES,BELLOSE LANKA LTD,ROMANTRA,CDBOX,,,100,ML,100.00 ML,202207,1
54332,ASHEN - CR BOOK (A4) 80 PGS - 1 NO,39,STATIONERY,ASHEN STATIONERIES,ASHEN,,80,A4,1,NO,1.00 NO,202207,1
54333,HERBAL CEYLON VENIVEL & WILD TURMERIC BODY LOTION WITH PINDA TAILAM 300 ML PLBOT,19,CREAMS & LOTIONS,HERB LINE - SRI LANKA,HERBAL CEYLON,PLBOT,KOHOMBA & TURMERIC,,300,ML,300.00 ML,202207,1
54334,SUNLIGHT CLEAN & ROSE FRESH PERFUME LOCK 2 IN 1 DETERGENT POWDER 1000 GM PLPCH + SAVE RS 50,15,WASHING POWDER,UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,PLPCH,ROSE,,1000,GM,1000.00 GM,202207,1
54335,VIM PODDA POWER OF 100 LIMES 50 GM PLPCH,21,HOUSEHOLD CLEANERS,UNILEVER SRI LANKA LTD,VIM,PLPCH,,BAR,50,GM,50.00 GM,202207,1
54336,LIFEBUOY HEALTH SHAMPOO ANTI DANDRUFF 175 ML PLBOT + SAVE RS 40,26,SHAMPOOS/CONDITIONERS,UNILEVER SRI LANKA LTD,LIFEBUOY,PLBOT,,,175,ML,175.00 ML,202207,1
