MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,MATCH_ITEMDESC,MATCH_COMPANY,MATCH_BRAND,MATCH_PACKAGING,MATCH_QTY,MATCH_UNIT,MATCH_PACKSIZE,FUZZY_SCORE
SISILRO BEVERAGES (PVT) LTD,RISTA,RISTA/5ML/PET/DRINKING WOTAR,5,ML,5ML,PET,1,,,,,,,,
RUHUNULAND MARKETING,RUHUNULAND,RUHUNULAND/50G/POCH PACK /CHILE PIECE,50,GM,50G,POCH,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,490,GM,490G,PLPCH,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/ PAPAER BLAST  INSTANT NOODLES,75,GM,75G,PLPCH,1,,,,,,,,
BRINTA ENTERPRISES (PVT) LTD,BRINTA,BRINTA/50/GM/PLPCH/JAFFNA CURRY POWDER,50,GM,50G,PLPCH,0,BRINTA CURRY POWDER 50 GM PLPCH,BRINTA ENTERPRISES (PVT) LTD,BRINTA,PLPCH,50,GM,50.00 GM,0.55
JAT HOLDINGS,SAYERLACK,SAYERLACK WB SELF SEALER FOR INTERIOR GLOSS - 40%/1LTR/PLCAN,10000,10000,1 LTR,PLCAN,1,,,,,,,,
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490/GM/SUPER CREAM CRACKER ENRICHED WITH VITAMINS + PRICE OFF RS 60,10000,10000,490 GM,PL POUCH,1,,,,,,,,
HEMAS MARKETING,DIVA DIRIYA,DIVA/500/GM/PLPCH/DIRIYA/DIRT LIFE TECHNOLOGY/DETERGENT POWDER,10000,10000,500 GM,PLPCH,1,,,,,,,,
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/50/ML/PLBOT/SHAMPOO/WITH NELLI AND NEEM,10000,10000,50 ML,PLBOT,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PLBOT/ORIGINAL/FREE DIVA ROSE &LIME DETERGENT POWDER 200G,500,ML,500ML,PLBOT,1,,,,,,,,
UPALI CONSUMER PRODUCTS,SANTOOR,SANTOOR/300/GM/EWRPK/SANDAL & TURMERIC (100G*3) SAVE RS55/=,300,GM,300GM,EWRPK,1,,,,,,,,
DARLEY BUTLER & CO.LIMITED,SUNNY,SUNNY ORANGE & ROSE FRESH WITH ALOE VERA LAUNDRY DETERGENT POWDER 50GM,50,GM,50GM,PLPCH,1,,,,,,,,
JANRICH FOODS LTD,KELLS,KELLS SOYA SAUCE 650ML,650,ML,650ML,PLBOT,1,,,,,,,,
UNILEVER SRI LANKA LTD,PEARS,PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST. CREAM/ FREE PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST.CREAM 140GM,140,GM,140GM,CDBOX,1,,,,,,,,
NIPPON PAINT LANKA (PVT) LTD,NIPPON PAINT BREEZE,"NIPPON/1/L/PL CANISTER/BREEZE,3 IN 1 WATERPROOFING PAINT, COLOUR",1,LTR,1LTR,PL CANISTER,1,,,,,,,,
CEYLON CONSUMER CARE INDUSTRIES,CLOREX,CLOREX/50/ML/PBT/NO-1/DEEP ACTION POWER ORIGINAL,500,ML,500ML,PBT,1,,,,,,,,
CHOICE FOODS HOLDINGS PVT LTD,CHOICE FOOD,CHOICE FOOD/20/G/EWRPK/NO-1/GARAM MASALA,20,GM,20G,EWRPK,1,,,,,,,,
CHOICE FOODS HOLDINGS PVT LTD,CHOICE FOOD,CHOICE FOOD/45/G/EWRPK/NO-1/BBQ MIX,45,GM,45G,EWRPK,1,,,,,,,,
HEMAS MARKETING,DIVA DIRIYA,DIVA DIRIYA/1KG/PLPCH/DIRT LIFT TECHNOLOGY DETERGENT POWDER,1,KG,1KG,PLPCH,1,,,,,,,,
CEYLON BISCUITS LIMITED,MUNCHEE KOME,MUNCHEE KOME/15G  /PLPCH/SWEET MASALA FLAVOUR BITES,15,GM,15G,PLPCH,1,,,,,,,,
MINARA FOODS (PVT) LTD,MINARA,MINARA/5000/GM/PLPCH/ SPECIAL NOODLES,10000,10000,5000 GM,PLPCH,1,,,,,,,,
TRADEX INDUSTRIAL PARK,OMIL,OMIL/100/GM/CDBOX/OMIL KOHOMBA SOAP WITH COCONUT AND NEEM OIL,100,GM,100GM,CDBOX,1,,,,,,,,
