MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/70/GM/CD BOX/GLOWING RADIANCE WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON/UNILEVER SRI LANKA LTD,10000,10000,70 GM,CD BOX 
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CD BOX/1 ST CUP MALTED FOOD/+FREE MAGGI PAPARE KOTTU 75 GM/NESTLE LANKA,10000,10000,400 GM,CD BOX 
RECKITT BENCKISER (LANKA) LTD,LYSOL,LYSOL/500ML/PLBOT/TRIPLE GERM ACTION CITRONELLA+FREE HARPIC 10X 200ML ,500,ML,500ML,PLBOT
UNILEVER SRI LANKA LTD,VIM,VIM/500ML/PLBOT/LIME FRESH DISHWASH LIQUID SAVE/-50,500,ML,500ML,PLBOT
RECKITT BENCKISER (LANKA) LTD,LYSOL,LYSOL/500ML/PLBOT/TRIPLE GERM ACTION+FREE 10X HARPIC 200ML ,500,ML,500ML,PLBOT
RECKITT BENCKISER (LANKA) LTD,LYSOL,LYSOL/500ML/PLBOT/TRIPLE GERM ACTION FLORAL+FREE HARPIC 10X 200ML,500,ML,500ML,PLBOT
CEYLON BISCUITS LIMITED,CAROL,MUNCHEE/85/GM/CAROL COOKIES/PLPCH ,85,GM,85GM,PLPCH
HEMAS MANUFACTURING PVT LTD,FEMS,FEMS\10NO (1 PACK)\EWRPK \DRYTEX WINGS 3X PROTECTION ,10,NO,10NO (1 PACK),EWRPK 
CEYLON BISCUITS LIMITED,CAROL COOKIES,CBL MUNCHEE/85/GM/PLPCH/NEW LOOK AND TASTE CAROL COOKIES,10000,10000,85 GM,PLPCH
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX/1ST CUP MALTED FOOD DRINK/MAGGI PAPARE KOTTU 75GM FREE PACK,175,GM,175GM,CDBOX 
HEMAS MARKETING,GOYA,GOYA/70/G/CD BOX/RUBY RED,70,GM,70G,CD BOX
GRANDEUR FOOD SOLUTIONS (PVT) LTD,CRYING THIGER,CRYING THIGER\740\ML\PLBT \ SIRACHA SAUCE ,10000,10000,740 ML,PLBT 
GRANDEUR FOOD SOLUTIONS (PVT) LTD,ROYAL ARM ,ROYAL ARM \200\G\GLBT \ SRIRACHA SAUCE ,10000,10000,200 G,GLBT 
MARINA FOODS (PVT) LTD ,MARINA,MARINA\400\ML\TIN \COCONUT CREAM ,10000,10000,400 ML,TIN
SHAW WALLACE CEYLON LTD,RENUKA ,RENUKA\1000\ML\TPK\ COCONUT MILK ,10000,10000,1000 ML,TPK
GRANDEUR FOOD SOLUTIONS (PVT) LTD,ROYAL ARM ,ROYAL ARM \180\G\GLBT \PERI PERI SAUCE ,10000,10000,180 G,GLBT 
SHAW WALLACE CEYLON LTD,RENUKA ,RENUKA\400\ML\TIN \REAL THICK COCONUT MILK ,10000,10000,400 ML,TIN
GRANDEUR FOOD SOLUTIONS (PVT) LTD,CRYING THIGER,CRYING THIGER\200\ML\PLBT \ SIRACHA SAUCE ,10000,10000,200 ML,PLBT 
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/67/GM/EWRPK/LEMONGRASS FOR A PLAYFUL CITRUSY SENSATION ,67,GM,67GM,EWRPK 
RICH COOL PVT,RICH COOL,RICH COOL/185ML/CUP/APPLE/,185,ML,185ML,CUP
CHAMILA MILK PRODUCT ,CS DAILY ,CS / DAILY /200ML/CUP/ORENGE DRINK ,200,ML,200ML,CUP
NESTLE LANKA,NESTOMALT,NESTOMALT/400G/CD BOX/FREE MAGGI PAPARE KOTTU 75G,400,GM,400G,CD BOX
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX/1ST CUP MALTED FOOD + FREE MAGGI/75/GM/PLPCH/PAPARE KOTTU,10000,10000,400 GM,CDBOX 
SANDARU PRODUCTS,SANDARU,SANDARU/1000/GM/PLPCH/CHILI POWDER,10000,10000,1000 GM,PLPCH 
R FOOD PRODUCTS PVT LTD,BALANGODA,BALANGODA/50/GM/PLPCH/CEYLON TEA,10000,10000,50 GM,PLPCH 
SINETH PRODUCTS ,HIGHLION,HIGHLION/80/GM/PLCUP/VANILLA ,10000,10000,80 GM,PLCUP
PIDILITE LANKA PRIVATE LIMITED,CHEMIFIX,CHEMIFIX/2/KG/PLBT/GENERAL PURPOSE ADHESIVE,2,KG,2KG,PLBT
REAL MILK PRODUCTS,REAL LIFE,REAL LIFE/80/GM/PLCUP/SET YOGHURT,80,GM,80GM,PLCUP
N LION GROUP,MAGAM,MAGAM /25G/POCH /PEPPER POWDER ,25,GM,25G,POCH 
N LION GROUP,MAGAM,MAGAM /50G/POCH PACK /TERMERC POWDER ,50,GM,50G,POCH 
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/3X PROTECTION COTTON FEEL WINGS,10,NO,10NO,PLPCH 
THE COCA COLA COMPANY ,KINLEY ,KINLEY SODA/ PET /750ML/ ,750,ML,750ML,PBT
KMT TRADERS ,KMT ,KMT/500/ML/PLBOT/BRIGHT LIFE DISHWASH ,500,ML,500ML,PLBOT 
ATLAS AXILLIA CO. (PVT) LTD,ATLAS,ATLAS/1/NO/SHARP FINE WRITING 0.7,1,NO,1NO,10000
NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CDBOX/1ST CUP MALTED FOOD/WITH MAGGI PAPARE KOTTU 75G FREE,400,GM,400G ,CDBOX 
SIDDHALEPA AYURVEDA EXPORTS,KEKULU,"KEKULU/70/GM/CDB/KING COCONUT OIL, LOTHSUMBULU, ALOE VERA/SAVE RS.15/=",70,GM,70GM ,CDB
MAHAWELI HOLDING (PVT) LTD,MAHAWELI NC THINNER,LANKEM /1/LT/PLCAN/MAHAWELI SPECIAL/NC THINNER,1,LT,1LT,PLCAN
NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CD BOX/1ST CUP MALTED FOOD + MAGGI PAPARE KOTTU NOODLES ,400,GM,400G,CD BOX 
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/PLPCH/400/G/FULL CREAM MILK POWDER SAVE 50/-,400,GM,400G,PLPCH 
UNILEVER SRI LANKA LTD,SUNSILK ,SUNSILK/180/ML/PLASTIC BOTTLE/KERATIN STRAIGHT SHAMPOO WITH KERATIN AND ORGAN OIL,10000,10000,180 ML,PLASTIC  BOTTLE 
HEMAS MARKETING,GALAXY BY GOLD,GALAXY BY GOLD/50/ML/ CD BOX /SPECIAL EDITION ,10000,10000,50 ML,CD BOX
UNILEVER SRI LANKA LTD,AYUSH,"AYUSH/70/G/CDBOX/GLOWING RADIANCE FOR GLOWING RADIANT SKIN WITH SANDALWOOD,KUMKUMADI TAILAM AND SAFFRON",70,GM,70G,CDBOX
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL VOLIN,VENDOL VOLIN/75/G/CDBOX/PROTEIN SOAP WITH VENIVEL OIL FOR GOLDEN COMPLEXION,75,GM,75G,CDBOX 
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE\85\G\POUCH\CAROL COOKIES,85,GM,85G,POUCH
SAMPATH SUPER TRADING CO. PVT LTD,SAMPATH FINELIGHT,SAMPATH FINELIGHT/110/G/EWRPK/LEMON LAUNDRY SOAP,110,GM,110G,EWRPK 
CEYLON CHATEAU,RAJA KAHATA,RAJA KAHATA\100\G\POUCH \BUDGET PACK TEA,100,GM,100G ,POUCH
LION FRUIT PRODUCTS PVT LTD,LION,LION/1/L/PLCAN/TOMATO SAUCE ,1,LTR,1L,PLCAN
