catcode,company,brand,itemdesc,packaging,qty,uomdesc,pack_size
118,VARUN BEVERAGE -NEPAL,DIET PEPSI,DIET PEPSI-COLA-PET 500 ML,PET,500.0,ML,500.000 ML
118,DUGAR FOOD & BEVERAGE-NEPAL,APPY FIZZ APPLE,APPY FIZZ APPLE-APPLE-APPLE PET 500 ML,PET,500.0,ML,500.000 ML
118,VARUN BEVERAGE -NEPAL,7 UP,7 UP-LEMON-PET 2000 ML,PET,2000.0,ML,2000.000 ML
118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE-LEMON-PET 2000 ML,PET,2000.0,ML,2000.000 ML
118,VARUN BEVERAGE -NEPAL,7 UP,7 UP-LEMON-PET 600 ML,PET,600.0,ML,600.000 ML
118,VARUN BEVERAGE -NEPAL,LEHAR,LEHAR-SODA-SODA PET 600 ML,PET,600.0,ML,600.000 ML
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE-ORANGE PET 600 ML,PET,600.0,ML,600.000 ML
118,VARUN BEVERAGE -NEPAL,MOUNTAIN DEW,MOUNTAIN DEW-LEMON-PET 600 ML,PET,600.0,ML,600.000 ML
118,VARUN BEVERAGE -NEPAL,MOUNTAIN DEW,MOUNTAIN DEW-LEMON-RGB 250 ML,RGB,250.0,ML,250.000 ML
118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-PET 600 ML,PET,600.0,ML,600.000 ML
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE-ORANGE PET 250 ML,PET,250.0,ML,250.000 ML
118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-PET 250 ML,PET,250.0,ML,250.000 ML
118,VARUN BEVERAGE -NEPAL,MOUNTAIN DEW,MOUNTAIN DEW-LEMON-PET 250 ML,PET,250.0,ML,250.000 ML
118,BOTTLERS NEPAL - NEPAL,KINLEY,KINLEY-SODA-SODA RGB 200 ML,RGB,200.0,ML,200.000 ML
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE-ORANGE CAN 250 ML,CAN,250.0,ML,250.000 ML
118,VARUN BEVERAGE -NEPAL,MOUNTAIN DEW,MOUNTAIN DEW-LEMON-CAN 250 ML,CAN,250.0,ML,250.000 ML
118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-CAN 250 ML,CAN,250.0,ML,250.000 ML
118,VARUN BEVERAGE -NEPAL,7 UP,7 UP-LEMON-PET 1000 ML,PET,1000.0,ML,1000.000 ML
118,BOTTLERS NEPAL - NEPAL,KINLEY,KINLEY-SODA-SODA RGB 250 ML,RGB,250.0,ML,250.000 ML
118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,FANTA ORANGE-ORANGE-ORANGE PET 2250 ML,PET,2250.0,ML,2250.000 ML
118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE-LEMON-PET 2250 ML,PET,2250.0,ML,2250.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,COCA-COLA,COCA-COLA-COLA-PET 2000 ML,PET,2000.0,ML,2000.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,COCA-COLA,COCA-COLA-COLA-PET 1250 ML,PET,1250.0,ML,1250.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,COCA-COLA,COCA-COLA-COLA-PET 600 ML,PET,600.0,ML,600.000 ML
118,COCA COLA COMPANY IMPRTD-IMPTD,FANTA ORANGE,FANTA ORANGE-ORANGE-ORANGE PET 2000 ML,PET,2000.0,ML,2000.000 ML
