DATE,PERIOD,AUDITYPE,STORECODE,DLRCODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2022-03-05 00:00:00,202203,,130646198,,1646373182772,99763285,123,MAHASHAKTI SOAP & CHEM.- NEPAL,MAHASHAKTI,MAHASHAKTI\125GM\PPH\100%PURE WASHING SOAP,25,PPH,125GM,,1646373182772-mahashakti soap - chem-- nepal-mahashakti.png,RECODING,5
2022-03-05 00:00:00,202203,,125080524,,1646373040877,99763275,118,O.K MINERAL WATER,O.K,O.K \19\ LTR,40,JAR,19 LTR,New SKU,1646373040877-o-k mineral water-o-k.png,RECODING,5
2022-03-07 00:00:00,202203,,114465578,,1646553575685,99763227,122,CHIRANJIVI DETERGENT & SOAP-NP,API GREEN HERBAL GHADI ,API GREEN HERBAL GHADI\180\GM,20,PPH,180 GM,,1646553575685-chiranjivi detergent - soap-np-api green herbal ghadi .png,RECODING,5
2022-03-07 00:00:00,202203,,128841141,,1646538780552,,106,UTTAM CONFECTIONERY-INDIA ,UTTAM CHATPATI,UTTAM CHATPATI\3GM\PPH\CANDY,0.8,PPH,3GM,,1646538780552-uttam confectionery-india -uttam chatpati.png,PARKER FOR NEXT MONTH,999
2022-03-07 00:00:00,202203,,128841141,,1646537724504,99763262,106,PARAS FOOD PRODUCTS-INDIA,CANDY LAKE,CANDY LAKE LOVE YOU\12GM\PPH\SNAP&GLOW,8,PPH,12GM,,1646537724504-paras food products-india-candy lake.png,RECODING,5
2022-03-07 00:00:00,202203,,128841141,,1646538591510,99763263,106,RADHE KRISHNA FOODS PRODUCTS-INDIA ,R.K PLUSS,R.K PLUSS\3GM\PPH\KACHI KARI WITH MASALA CURRY,0.8,PPH,3GM,,1646538591510-radhe krishna foods products-india -r-k pluss.png,RECODING,5
2022-03-07 00:00:00,202203,,124619639,,1646548754006,,111,HYGIENIC RESEARCH INSTITUTE P LTD,STREAX,STREAX PROFESTIONAL\45\ML,145,PET,45ML,New SKU,1646548754006-hygienic research institute p ltd-streax.png,PARKER FOR NEXT MONTH,999
2022-03-07 00:00:00,202203,,126433226,,1646373040877,99763275,118,O.K MINERAL WATER,O.K,O.K \19\ LTR,40,JAR,19 LTR,New SKU,1646373040877-o-k mineral water-o-k.png,RECODING,5
2022-03-07 00:00:00,202203,,124866555,,1646544414946,99763279,122,PATANJALI AYURVED PVT LTD-NEPAL,PATANJALI ,PATANJALI/ANTI-BACTERIAL NEEM FRESH ROSE/2000GM/PPH,190,PPH,2000GM,,1646544414946-patanjali ayurved pvt ltd-nepal-patanjali .png,RECODING,5
2022-03-07 00:00:00,202203,,124866555,,1646545444780,99763286,123,UNIQUE SOAP & CHEMICALS-NEPAL ,UNIQUE FRESH ,UNIQUE FRESH/DISWASH BAR/100GM/PPH,10,PPH,100GM ,,1646545444780-unique soap - chemicals-nepal -unique fresh .png,RECODING,5
2022-03-07 00:00:00,202203,,130253880,,1646283771205,90819961,111,DABUR NEPAL LTD.-NEPAL,PRO STYLE DANDRUFF CONTROL FOR MEN,PROSTYLE DANDRUFF CONTROL FOR MEN/LEMON ROSEMARY PEPPERMINT/75ML/PBT,60,PBT,75ML,,1646283771205-dabur nepal ltd--nepal-pro style dandruff control for men.png,CROSS CODING,2
2022-03-07 00:00:00,202203,,130253880,,1646374244943,99763277,120,UNILEVER NEPAL LTD-NEPAL,LIFEBUOY TOTAL PROTECT ,LIFEBUOY TOTAL PROTECT/ACTIV SILVER FORMULA/95GM/WEP,35,EWP,95GM ,,1646374244943-unilever nepal ltd-nepal-lifebuoy total protect .png,RECODING,5
