itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate,audittype
30158,LITTLE LION PREMIUM BUTTER COOKIES 330 GM TIN,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION PREMIUM BUTTER COOKIES,TIN,,,330.0,GM,330.00 GM,201404.0,1
30159,LITTLE LION COOKIE RINGS 220 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION COOKIE RINGS,PLPCH,,,220.0,GM,220.00 GM,201303.0,1
30160,LITTLE LION CHOCO CHIP COOKIES 75 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION CHOCO CHIP COOKIES,PLPCH,,,75.0,GM,75.00 GM,201507.0,1
30162,LITTLE LION DARK FANTASY CHOCO COOKIES 350 GM TIN,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION DARK FANTASY,TIN,,,350.0,GM,350.00 GM,201408.0,1
30163,LITTLE LION MILKY COOKIES 200 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION MILKY COOKIES,PLPCH,,,200.0,GM,200.00 GM,201308.0,1
30164,LITTLE LION MILKY COOKIES 400 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION MILKY COOKIES,PLPCH,,,400.0,GM,400.00 GM,201309.0,1
30165,LITTLE LION CHOCO COOKIES 300 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION CHOCO COOKIES,PLPCH,,,300.0,GM,300.00 GM,201002.0,1
30166,LITTLE LION CHOCO COOKIES 180 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION CHOCO COOKIES,PLPCH,,,180.0,GM,180.00 GM,201403.0,1
30167,LITTLE LION MARIE COOKIES 240 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION MARIE COOKIES,PLPCH,,,240.0,GM,240.00 GM,201802.0,1
30168,LITTLE LION MILKY COOKIES 240 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION MILKY COOKIES,PLPCH,,,240.0,GM,240.00 GM,201911.0,1
30169,LITTLE LION REAL SHORTIES COOKIES 220 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION REAL SHORTIES COOKIES,PLPCH,,,220.0,GM,220.00 GM,201901.0,1
30170,LITTLE LION REAL SHORTIES COOKIES 260 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION REAL SHORTIES COOKIES,PLPCH,,,260.0,GM,260.00 GM,201601.0,1
30173,LITTLE LION VITA COOKIES 220 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION VITA COOKIES,PLPCH,,,220.0,GM,220.00 GM,201401.0,1
30174,LITTLE LION VITA COOKIES 240 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION VITA COOKIES,PLPCH,,,240.0,GM,240.00 GM,201708.0,1
30175,LITTLE LION GINGER COOKIES 175 GM,6,BISCUITS,LITTLE LION ASSOCIATES,LITTLE LION GINGER COOKIES,PLPCH,,,175.0,GM,175.00 GM,201407.0,1
30176,BAKERS FRESH MILK COOKIES 275 GM,6,BISCUITS,LUCKYLAND BISCUITS MFS,BAKERS FRESH MILK COOKIES,PLPCH,,,275.0,GM,275.00 GM,201705.0,1
30177,MALIBAN DOUBLE TWIST COOKIES 85 GM PLPCH,6,BISCUITS,MALIBAN BISCUIT MANUFACTORIES,MALIBAN DOUBLE TWIST,PLPCH,,,85.0,GM,85.00 GM,201902.0,1
30178,MALIBAN CHEKKERS COFFEE COOKIES 90 GM PLPCH,6,BISCUITS,MALIBAN BISCUIT MANUFACTORIES,MALIBAN CHEKKERS COFFEE,PLPCH,,,90.0,GM,90.00 GM,201910.0,1
30179,MALIBAN DANISH SELECT STYLE COOKIE ASSORTMENT TIN 475 GM,6,BISCUITS,MALIBAN BISCUIT MANUFACTORIES,MALIBAN DANISH SELECT,TIN,,,475.0,GM,475.00 GM,202002.0,1
30181,MIC MAC BUTTER NUT COOKIES 280 GM,6,BISCUITS,MICMAC FOOD (PVT) LTD,MIC MAC BUTTER NUT COOKIES,PLPCH,,,280.0,GM,280.00 GM,201608.0,1
30182,MIC MAC BUTTER NUT COOKIES 45 GM,6,BISCUITS,MICMAC FOOD (PVT) LTD,MIC MAC BUTTER NUT COOKIES,PLPCH,,,45.0,GM,45.00 GM,201611.0,1
30183,MIC MAC COCONUT COOKIES 240 GM,6,BISCUITS,MICMAC FOOD (PVT) LTD,MIC MAC COCONUT COOKIES,PLPCH,,,240.0,GM,240.00 GM,201903.0,1
30184,MIC MAC COCONUT COOKIES 280 GM,6,BISCUITS,MICMAC FOOD (PVT) LTD,MIC MAC COCONUT COOKIES,PLPCH,,,280.0,GM,280.00 GM,201609.0,1
30185,MIC MAC COCONUT COOKIES 45 GM,6,BISCUITS,MICMAC FOOD (PVT) LTD,MIC MAC COCONUT COOKIES,PLPCH,,,45.0,GM,45.00 GM,201610.0,1
30201,RASHIKA HAPPY COOKIES 240 GM,6,BISCUITS,RASHIKA TRADING (PVT) LTD,RASHIKA HAPPY COOKIES,PLPCH,,,240.0,GM,240.00 GM,201908.0,1
30202,RASHIKA HAPPY COOKIES 250 GM,6,BISCUITS,RASHIKA TRADING (PVT) LTD,RASHIKA HAPPY COOKIES,PLPCH,,,250.0,GM,250.00 GM,201208.0,1
