t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,1,2,3,rank
12,2023-05-12,202305,2,125085301,21301020044,1683615815735,99764968,134.0,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE\CLUB SODA\250\ML,50.0,250 ML,PET,New SKU,1683615815735-life food - beverage-nepal-fizzy life#3.png,CROSS CODING,2,99764968,99765206,99764970,1
13,2023-05-12,202305,2,126721948,32201020007,1683618514575,99765014,118.0,THE COCACOLA COMPANY-IMPORTED,LIMCA,LIMCA LIME N LEMON/250ML/PBT/NRS50/THE COCACOLA COMPANY-IMPORTED,50.0,250 ML,PBT,,1683618514575-the cocacola company-imported-limca#3.png,RECODING,5,99765014,None,None,1
14,2023-05-12,202305,2,124639873,31101020026,1683614039472,99764984,134.0,AAKAR FOOD & BEVERAGE-NEPAL,AQUA POKHARELI,AQUA POKHARELI PBT 1L,25.0,1L,PBT,,1683614039472-aakar food - beverage-nepal-aqua pokhareli#3.png,CROSS CODING,2,99764984,99765113,99765408,1
15,2023-05-12,202305,2,112334333,21102020014,1683543834831,99765010,134.0,PRASID WATER SOLUTIONS PVT.LTD,FORBES SPRING,FORBES SPRING/PROCESSED DRINKING WATER,60.0,1000ML,PBT,Sales Deviation is OK,1683543834831-prasid water solutions pvt-ltd-forbes spring#3.png,RECODING,5,99765010,40126796,40125885,1
16,2023-05-15,202305,2,122002412,12303020025,1683802169485,99765015,118.0,SINGAPORE BEVERAGE-NEPAL,MONSOON DEW,MONSOON DEW CAN 250ML,100.0,250ML,CAN,,1683802169485-singapore beverage-nepal-monsoon dew#3.png,RECODING,5,99765015,48648,99764996,1
17,2023-05-15,202305,2,335095510181,33509020005,1683864709237,99765016,134.0,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI MANGO/600ML/PBT/PARLE AGRO PVT LTD-INDIA,100.0,600ML,PBT,,1683864709237-parle agro pvt ltd-india-frooti#3.png,RECODING,5,99765016,None,None,1
18,2023-05-15,202305,2,130675914,31101020077,1683874714816,99765018,134.0,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER ,REAL FRUIT POWER-LITCHI PBT 1L,170.0,1L,PBT,,1683874714816-dabur nepal ltd--nepal-real fruit power #3.png,RECODING,5,52566,53073,99765018,1
19,2023-05-15,202305,2,130675914,31101020077,1683874875726,99765017,134.0,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER ,REAL FRUIT POWER-GUAVA PBT 1 L,170.0,1L,PBT,,1683874875726-dabur nepal ltd--nepal-real fruit power #3.png,RECODING,5,51620,99765262,99765026,1
20,2023-05-16,202305,2,113123120,52204020002,1684142172441,99765019,134.0,VARUN BEVERAGE -NEPAL,SLICE,SLICE/200ML/PBT/MANGO,40.0,200ML,PBT,,1684142172441-varun beverage -nepal-slice#3.png,RECODING,5,99765019,20110489,20110401,1
21,2023-05-16,202305,2,113123120,52204020002,1684141998921,99764980,134.0,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER NIMBU FIZZIN,REAL MINI FRUIT NIMBU FIZZIN/150ML/PBT/NIMBU,50.0,150ML,PBT,,1684141998921-dabur nepal ltd--nepal-real fruit power nimbu fizzin#3.png,CROSS CODING,2,99764980,99764967,99764981,1
